investor_id,sip_transactions,first_sip_date,last_sip_date,avg_gap_days,max_gap_days,total_sip_amount,continuity_status
INV000079,6,2024-06-02,2025-04-27,65.8,90.0,42160,at-risk
INV000081,7,2024-01-01,2025-05-03,81.33333333333333,167.0,54704,at-risk
INV000082,7,2024-01-09,2025-05-25,83.66666666666667,351.0,27594,at-risk
INV000086,10,2024-02-05,2025-03-13,44.666666666666664,167.0,81221,at-risk
INV000087,6,2024-02-20,2025-05-29,92.8,202.0,105288,at-risk
INV000091,8,2024-01-04,2024-11-07,44.0,105.0,55134,at-risk
INV000093,7,2024-01-30,2024-12-28,55.5,91.0,141515,at-risk
INV000094,6,2024-04-04,2024-11-14,44.8,95.0,49928,at-risk
INV000095,6,2024-04-19,2025-04-01,69.4,155.0,92823,at-risk
INV000097,7,2024-05-10,2025-04-02,54.5,183.0,155107,at-risk
INV000101,8,2024-02-08,2025-05-08,65.0,197.0,112802,at-risk
INV000102,8,2024-02-11,2025-05-13,65.28571428571429,109.0,114074,at-risk
INV000103,6,2024-02-08,2025-03-31,83.4,232.0,20675,at-risk
INV000105,8,2024-01-02,2025-02-04,57.0,87.0,86911,at-risk
INV000109,9,2024-02-29,2025-03-05,46.25,63.0,67651,at-risk
INV000113,8,2024-02-11,2024-12-29,46.0,144.0,84349,at-risk
INV000123,7,2024-03-28,2025-03-21,59.666666666666664,142.0,113633,at-risk
INV000128,6,2024-03-19,2025-05-03,82.0,181.0,38273,at-risk
INV000131,7,2024-04-05,2025-03-07,56.0,123.0,102201,at-risk
INV000132,6,2024-05-12,2025-05-02,71.0,139.0,88403,at-risk
INV000133,6,2024-02-15,2025-05-01,88.2,265.0,74695,at-risk
INV000138,6,2024-05-06,2025-05-22,76.2,220.0,156066,at-risk
INV000145,6,2024-02-17,2025-05-09,89.4,282.0,127034,at-risk
INV000146,6,2024-02-12,2025-01-11,66.8,171.0,88618,at-risk
INV000148,9,2024-03-11,2025-05-01,52.0,168.0,90012,at-risk
INV000155,7,2024-06-18,2025-01-28,37.333333333333336,99.0,57530,at-risk
INV000161,7,2024-02-23,2025-05-06,73.0,213.0,44287,at-risk
INV000163,8,2024-01-06,2025-03-08,61.0,80.0,58271,at-risk
INV000164,6,2024-04-17,2025-02-20,61.8,208.0,25253,at-risk
INV000169,7,2024-03-17,2025-04-28,67.83333333333333,145.0,48708,at-risk
INV000173,7,2024-04-18,2025-03-30,57.666666666666664,165.0,78387,at-risk
INV000175,7,2024-01-12,2025-05-28,83.66666666666667,170.0,71320,at-risk
INV000177,8,2024-01-16,2025-04-18,65.42857142857143,278.0,51520,at-risk
INV000180,6,2024-05-07,2025-03-12,61.8,229.0,15924,at-risk
INV000183,9,2024-02-20,2025-05-14,56.125,216.0,86040,at-risk
INV000191,7,2024-04-12,2025-03-17,56.5,161.0,68656,at-risk
INV000194,7,2024-05-23,2025-05-06,58.0,109.0,61857,at-risk
INV000195,6,2024-04-08,2025-04-30,77.4,114.0,21739,at-risk
INV000196,7,2024-03-17,2025-05-05,69.0,176.0,80685,at-risk
INV000201,9,2024-01-17,2025-03-01,51.125,100.0,98278,at-risk
INV000205,8,2024-01-27,2025-04-09,62.57142857142857,193.0,72091,at-risk
INV000210,8,2024-01-14,2025-05-23,70.71428571428571,163.0,93572,at-risk
INV000214,6,2024-01-11,2025-04-29,94.8,306.0,67357,at-risk
INV000217,6,2024-02-04,2025-05-09,92.0,183.0,44146,at-risk
INV000228,9,2024-01-10,2025-05-02,59.75,188.0,239176,at-risk
INV000236,8,2024-01-18,2025-05-02,67.14285714285714,112.0,112217,at-risk
INV000238,6,2024-02-08,2025-05-21,93.6,287.0,146422,at-risk
INV000239,8,2024-04-16,2025-03-24,48.857142857142854,105.0,161292,at-risk
INV000243,6,2024-01-25,2025-04-10,88.2,137.0,58145,at-risk
INV000245,6,2024-02-08,2025-05-14,92.2,164.0,46023,at-risk
INV000249,7,2024-04-09,2025-01-07,45.5,162.0,194759,at-risk
INV000252,6,2024-01-25,2024-10-03,50.4,96.0,103128,at-risk
INV000255,6,2024-03-05,2024-11-03,48.6,103.0,34653,at-risk
INV000256,6,2024-03-02,2025-02-16,70.2,155.0,31902,at-risk
INV000259,6,2024-01-25,2025-01-12,70.6,165.0,81938,at-risk
INV000260,8,2024-01-08,2025-02-28,59.57142857142857,206.0,139633,at-risk
INV000262,8,2024-04-18,2025-04-28,53.57142857142857,122.0,47209,at-risk
INV000263,8,2024-01-11,2025-05-04,68.42857142857143,271.0,157678,at-risk
INV000265,10,2024-01-25,2025-05-20,53.44444444444444,140.0,203433,at-risk
INV000268,7,2024-01-22,2025-01-30,62.333333333333336,143.0,79605,at-risk
INV000279,9,2024-03-01,2025-02-11,43.375,133.0,61623,at-risk
INV000280,9,2024-01-22,2025-04-12,55.75,191.0,145194,at-risk
INV000283,6,2024-02-11,2025-01-16,68.0,195.0,24362,at-risk
INV000287,7,2024-01-17,2025-03-11,69.83333333333333,301.0,64351,at-risk
INV000289,8,2024-01-21,2025-04-04,62.714285714285715,142.0,81640,at-risk
INV000291,6,2024-02-13,2025-05-03,89.0,196.0,76178,at-risk
INV000292,7,2024-05-13,2025-02-13,46.0,95.0,123656,at-risk
INV000293,7,2024-01-09,2024-10-17,47.0,91.0,70574,at-risk
INV000297,6,2024-02-01,2025-04-29,90.6,163.0,22338,at-risk
INV000299,6,2024-03-22,2025-05-22,85.2,240.0,45557,at-risk
INV000304,7,2024-02-01,2025-03-27,70.0,204.0,79554,at-risk
INV000309,8,2024-01-08,2025-01-06,52.0,157.0,63146,at-risk
INV000310,7,2024-02-25,2025-05-25,75.83333333333333,164.0,46368,at-risk
INV000318,6,2024-01-29,2025-05-30,97.4,175.0,69726,at-risk
INV000319,7,2024-02-17,2025-05-03,73.5,201.0,40143,at-risk
INV000321,7,2024-01-03,2025-03-15,72.83333333333333,204.0,91225,at-risk
INV000328,9,2024-03-09,2025-01-03,37.5,73.0,64273,at-risk
INV000331,8,2024-01-23,2025-01-12,50.714285714285715,163.0,124378,at-risk
INV000334,7,2024-07-06,2024-12-06,25.5,60.0,43720,regular
INV000335,6,2024-01-25,2025-05-19,96.0,279.0,68848,at-risk
INV000339,6,2024-02-15,2025-05-30,94.0,195.0,74556,at-risk
INV000341,8,2024-02-18,2025-03-05,54.42857142857143,191.0,76460,at-risk
INV000356,6,2024-06-13,2025-03-12,54.4,157.0,72865,at-risk
INV000359,9,2024-02-19,2025-04-27,54.125,197.0,93451,at-risk
INV000363,7,2024-02-12,2025-05-19,77.0,153.0,59677,at-risk
INV000369,6,2024-03-06,2024-10-11,43.8,112.0,22654,at-risk
INV000371,8,2024-01-18,2025-03-08,59.285714285714285,147.0,71985,at-risk
INV000372,7,2024-03-03,2025-01-24,54.5,121.0,89873,at-risk
INV000380,6,2024-01-18,2025-05-17,97.0,272.0,72700,at-risk
INV000388,9,2024-02-27,2025-05-01,53.625,119.0,109420,at-risk
INV000392,7,2024-02-10,2025-05-18,77.16666666666667,205.0,39530,at-risk
INV000395,7,2024-04-13,2025-03-13,55.666666666666664,119.0,23004,at-risk
INV000396,6,2024-01-24,2025-03-15,83.2,153.0,46049,at-risk
INV000399,10,2024-01-08,2025-03-29,49.55555555555556,68.0,58193,at-risk
INV000400,6,2024-05-01,2025-03-10,62.6,101.0,21256,at-risk
INV000403,6,2024-05-30,2025-03-17,58.2,90.0,74178,at-risk
INV000407,6,2024-02-03,2025-03-21,82.4,157.0,112123,at-risk
INV000408,6,2024-04-15,2024-12-05,46.8,125.0,47374,at-risk
INV000412,8,2024-07-06,2025-05-08,43.714285714285715,70.0,87441,at-risk
INV000414,8,2024-01-12,2025-04-20,66.28571428571429,233.0,95455,at-risk
INV000415,7,2024-03-30,2025-05-01,66.16666666666667,128.0,42775,at-risk
INV000418,6,2024-01-16,2025-03-25,86.8,238.0,113497,at-risk
INV000427,7,2024-02-04,2025-03-21,68.5,116.0,106145,at-risk
INV000428,8,2024-01-01,2024-12-31,52.142857142857146,164.0,54350,at-risk
INV000429,6,2024-01-22,2025-02-11,77.2,187.0,117284,at-risk
INV000437,6,2024-01-01,2025-05-04,97.8,295.0,32739,at-risk
INV000440,8,2024-01-17,2025-05-18,69.57142857142857,162.0,33647,at-risk
INV000441,6,2024-06-28,2025-04-28,60.8,151.0,45638,at-risk
INV000444,6,2024-04-26,2025-04-27,73.2,129.0,76737,at-risk
INV000445,9,2024-01-24,2025-04-30,57.75,129.0,52898,at-risk
INV000446,6,2024-02-13,2024-08-24,38.6,101.0,31195,at-risk
INV000449,6,2024-06-13,2025-02-02,46.8,70.0,59567,at-risk
INV000452,9,2024-03-09,2025-04-08,49.375,123.0,84270,at-risk
INV000457,6,2024-02-25,2025-05-27,91.4,256.0,32725,at-risk
INV000460,6,2024-03-02,2024-10-05,43.4,107.0,35369,at-risk
INV000463,7,2024-01-09,2025-02-03,65.16666666666667,181.0,144163,at-risk
INV000466,7,2024-01-26,2025-04-10,73.33333333333333,135.0,125151,at-risk
INV000467,10,2024-01-01,2025-05-25,56.666666666666664,272.0,65408,at-risk
INV000469,7,2024-03-30,2025-05-27,70.5,183.0,34180,at-risk
INV000483,8,2024-01-18,2025-05-25,70.42857142857143,252.0,142115,at-risk
INV000491,6,2024-02-02,2025-05-22,95.0,202.0,43008,at-risk
INV000493,10,2024-03-01,2025-05-03,47.55555555555556,201.0,130085,at-risk
INV000497,7,2024-03-23,2025-05-28,71.83333333333333,191.0,72087,at-risk
INV000499,7,2024-01-28,2025-05-09,77.83333333333333,157.0,127344,at-risk
INV000507,7,2024-02-27,2025-04-23,70.16666666666667,249.0,58920,at-risk
INV000512,9,2024-02-18,2025-05-01,54.75,112.0,73426,at-risk
INV000522,6,2024-01-12,2025-05-30,100.8,309.0,28275,at-risk
INV000524,7,2024-06-19,2025-05-15,55.0,91.0,118571,at-risk
INV000527,6,2024-09-07,2025-05-19,50.8,116.0,115570,at-risk
INV000529,6,2024-06-08,2025-03-31,59.2,110.0,23027,at-risk
INV000531,7,2024-07-19,2025-04-27,47.0,82.0,151584,at-risk
INV000539,7,2024-01-26,2025-05-02,77.0,153.0,107371,at-risk
INV000540,7,2024-02-19,2025-05-05,73.5,123.0,78276,at-risk
INV000543,7,2024-01-11,2025-05-27,83.66666666666667,218.0,162711,at-risk
INV000545,6,2024-03-27,2025-05-04,80.6,181.0,48548,at-risk
INV000546,9,2024-01-14,2025-03-29,55.0,154.0,92002,at-risk
INV000547,6,2024-03-15,2024-12-19,55.8,140.0,37135,at-risk
INV000549,6,2024-01-19,2025-05-14,96.2,146.0,86784,at-risk
INV000553,6,2024-04-22,2025-04-17,72.0,172.0,54698,at-risk
INV000554,6,2024-02-18,2025-02-03,70.2,171.0,56741,at-risk
INV000556,8,2024-03-07,2025-03-09,52.42857142857143,156.0,126416,at-risk
INV000562,6,2024-03-08,2025-03-15,74.4,197.0,48292,at-risk
INV000563,7,2024-02-13,2025-05-16,76.33333333333333,198.0,59358,at-risk
INV000566,7,2024-08-24,2025-03-22,35.0,119.0,120009,regular
INV000567,6,2024-05-14,2025-03-29,63.8,166.0,33277,at-risk
INV000568,6,2024-03-13,2025-01-19,62.4,180.0,106953,at-risk
INV000570,8,2024-02-12,2025-05-28,67.28571428571429,186.0,136242,at-risk
INV000573,7,2024-01-27,2024-11-27,50.833333333333336,154.0,114632,at-risk
INV000575,6,2024-03-17,2025-03-10,71.6,155.0,43192,at-risk
INV000578,7,2024-04-21,2025-05-27,66.83333333333333,164.0,91996,at-risk
INV000581,7,2024-01-30,2025-05-14,78.33333333333333,160.0,58863,at-risk
INV000586,7,2024-01-23,2024-10-16,44.5,111.0,138122,at-risk
INV000589,9,2024-02-01,2025-05-19,59.125,90.0,69345,at-risk
INV000591,7,2024-04-15,2025-05-07,64.5,112.0,15867,at-risk
INV000593,6,2024-03-27,2025-04-02,74.2,179.0,31078,at-risk
INV000596,9,2024-02-01,2025-03-21,51.75,140.0,169915,at-risk
INV000597,6,2024-02-03,2025-04-21,88.6,198.0,82488,at-risk
INV000599,7,2024-01-13,2025-05-16,81.5,171.0,103758,at-risk
INV000607,7,2024-01-14,2025-02-17,66.66666666666667,209.0,38693,at-risk
INV000608,6,2024-01-09,2025-05-24,100.2,324.0,45475,at-risk
INV000609,6,2024-01-01,2024-08-23,47.0,87.0,44212,at-risk
INV000612,11,2024-01-16,2025-05-23,49.3,169.0,123648,at-risk
INV000615,7,2024-03-15,2025-02-13,55.833333333333336,139.0,29577,at-risk
INV000624,7,2024-01-31,2024-08-08,31.666666666666668,53.0,131937,regular
INV000625,6,2024-03-22,2025-05-28,86.4,134.0,23397,at-risk
INV000630,7,2024-01-31,2025-03-18,68.66666666666667,161.0,55182,at-risk
INV000631,6,2024-03-06,2024-12-01,54.0,145.0,45319,at-risk
INV000634,9,2024-01-22,2025-03-15,52.25,147.0,98595,at-risk
INV000635,6,2024-03-13,2025-03-23,75.0,240.0,30163,at-risk
INV000641,6,2024-08-03,2025-05-04,54.8,126.0,92825,at-risk
INV000642,9,2024-03-19,2025-05-21,53.5,139.0,109817,at-risk
INV000645,6,2024-02-12,2025-01-07,66.0,127.0,26646,at-risk
INV000646,7,2024-05-17,2025-05-26,62.333333333333336,138.0,76212,at-risk
INV000651,6,2024-01-20,2025-05-04,94.0,304.0,34381,at-risk
INV000652,6,2024-02-09,2025-05-23,93.8,262.0,34837,at-risk
INV000657,8,2024-01-28,2025-04-25,64.71428571428571,106.0,103388,at-risk
INV000662,8,2024-01-02,2025-04-09,66.14285714285714,185.0,34238,at-risk
INV000663,6,2024-01-04,2025-04-20,94.4,247.0,83316,at-risk
INV000665,10,2024-05-22,2025-04-13,36.22222222222222,148.0,56140,at-risk
INV000667,6,2024-05-21,2025-04-26,68.0,134.0,117715,at-risk
INV000673,6,2024-01-13,2025-04-21,92.8,235.0,145533,at-risk
INV000675,6,2024-06-09,2025-04-19,62.8,155.0,23160,at-risk
INV000676,11,2024-05-10,2025-04-28,35.3,106.0,174741,at-risk
INV000678,7,2024-04-12,2025-04-27,63.333333333333336,140.0,36623,at-risk
INV000683,9,2024-01-08,2025-03-19,54.5,137.0,47678,at-risk
INV000690,8,2024-04-23,2025-05-22,56.285714285714285,134.0,169171,at-risk
INV000691,6,2024-01-27,2024-12-24,66.4,163.0,50363,at-risk
INV000698,9,2024-02-20,2025-04-13,52.25,219.0,77848,at-risk
INV000699,6,2024-03-27,2024-10-27,42.8,147.0,51568,at-risk
INV000701,7,2024-01-13,2025-05-29,83.66666666666667,298.0,51486,at-risk
INV000707,9,2024-08-07,2025-05-09,34.375,106.0,50988,regular
INV000709,7,2024-02-07,2025-03-04,65.16666666666667,128.0,143724,at-risk
INV000710,6,2024-02-27,2025-05-15,88.6,264.0,62975,at-risk
INV000714,9,2024-06-07,2025-03-30,37.0,95.0,47519,at-risk
INV000718,7,2024-01-16,2024-12-28,57.833333333333336,118.0,52719,at-risk
INV000719,7,2024-02-29,2025-05-11,72.83333333333333,185.0,131252,at-risk
INV000724,6,2024-04-11,2025-05-22,81.2,227.0,33281,at-risk
INV000725,7,2024-03-14,2025-04-24,67.66666666666667,92.0,89962,at-risk
INV000734,8,2024-02-22,2025-05-15,64.0,180.0,108076,at-risk
INV000737,6,2024-01-31,2025-05-08,92.6,168.0,146341,at-risk
INV000747,6,2024-01-25,2025-03-23,84.6,205.0,86939,at-risk
INV000750,9,2024-08-03,2025-03-03,26.5,84.0,95979,regular
INV000751,9,2024-03-29,2025-05-27,53.0,193.0,42163,at-risk
INV000754,7,2024-03-02,2025-05-10,72.33333333333333,103.0,97616,at-risk
INV000759,7,2024-01-08,2025-05-20,83.0,156.0,44038,at-risk
INV000761,7,2024-02-26,2025-05-22,75.16666666666667,173.0,115474,at-risk
INV000768,8,2024-01-17,2025-03-12,60.0,124.0,81075,at-risk
INV000772,6,2024-06-15,2025-01-31,46.0,81.0,88779,at-risk
INV000774,7,2024-02-16,2025-05-03,73.66666666666667,169.0,83715,at-risk
INV000776,8,2024-03-07,2025-04-27,59.42857142857143,116.0,40424,at-risk
INV000777,6,2024-03-05,2025-01-29,66.0,121.0,20946,at-risk
INV000778,8,2024-03-22,2025-05-14,59.714285714285715,182.0,99237,at-risk
INV000779,6,2024-03-21,2025-03-31,75.0,153.0,12215,at-risk
INV000783,6,2024-02-14,2025-05-08,89.8,187.0,138175,at-risk
INV000785,6,2024-10-10,2025-03-22,32.6,66.0,29312,regular
INV000786,9,2024-01-01,2025-05-28,64.125,199.0,73859,at-risk
INV000789,8,2024-02-29,2025-03-21,55.142857142857146,225.0,110683,at-risk
INV000793,8,2024-01-14,2025-05-12,69.14285714285714,149.0,105129,at-risk
INV000803,7,2024-01-04,2025-04-11,77.16666666666667,147.0,75412,at-risk
INV000814,6,2024-01-15,2025-04-29,94.0,195.0,111708,at-risk
INV000822,7,2024-02-02,2024-12-31,55.5,141.0,68933,at-risk
INV000823,7,2024-02-21,2024-10-16,39.666666666666664,69.0,49395,at-risk
INV000827,8,2024-04-05,2025-05-18,58.285714285714285,122.0,46159,at-risk
INV000830,6,2024-04-21,2025-04-17,72.2,165.0,77141,at-risk
INV000833,8,2024-01-08,2025-04-23,67.28571428571429,182.0,88699,at-risk
INV000836,6,2024-01-01,2025-02-28,84.8,123.0,127974,at-risk
INV000843,6,2024-05-01,2025-02-03,55.6,102.0,49484,at-risk
INV000844,7,2024-02-09,2025-03-12,66.16666666666667,151.0,48647,at-risk
INV000847,6,2024-05-28,2025-01-22,47.8,75.0,20771,at-risk
INV000853,10,2024-01-22,2025-04-10,49.333333333333336,193.0,61865,at-risk
INV000854,9,2024-01-05,2025-05-09,61.25,170.0,149355,at-risk
INV000858,9,2024-04-27,2025-04-21,44.875,157.0,70918,at-risk
INV000862,6,2024-02-13,2025-05-14,91.2,372.0,119139,at-risk
INV000864,6,2024-01-16,2024-08-07,40.8,106.0,72191,at-risk
INV000865,9,2024-04-15,2025-04-16,45.75,99.0,164885,at-risk
INV000869,6,2024-02-27,2025-01-19,65.4,100.0,29400,at-risk
INV000873,7,2024-02-09,2025-04-25,73.5,299.0,44839,at-risk
INV000874,9,2024-01-04,2025-05-15,62.125,149.0,38895,at-risk
INV000877,6,2024-06-21,2025-04-14,59.4,159.0,116062,at-risk
INV000881,10,2024-01-10,2025-02-28,46.111111111111114,155.0,61437,at-risk
INV000887,7,2024-01-28,2025-02-25,65.66666666666667,268.0,115877,at-risk
INV000888,7,2024-01-27,2025-05-23,80.33333333333333,166.0,98413,at-risk
INV000893,7,2024-02-05,2025-01-27,59.5,147.0,93208,at-risk
INV000894,6,2024-07-26,2025-04-27,55.0,105.0,36994,at-risk
INV000901,6,2024-05-23,2025-02-17,54.0,95.0,36100,at-risk
INV000907,6,2024-04-08,2025-01-29,59.2,139.0,26520,at-risk
INV000920,6,2024-01-31,2025-02-12,75.6,220.0,97652,at-risk
INV000926,6,2024-01-05,2025-02-08,80.0,111.0,67012,at-risk
INV000929,7,2024-03-28,2025-03-12,58.166666666666664,116.0,150139,at-risk
INV000930,8,2024-07-19,2025-03-03,32.42857142857143,118.0,92989,regular
INV000935,9,2024-02-12,2024-10-16,30.875,73.0,152824,regular
INV000939,8,2024-02-23,2025-04-22,60.57142857142857,154.0,69507,at-risk
INV000942,7,2024-03-09,2025-01-21,53.0,92.0,138493,at-risk
INV000949,7,2024-04-03,2025-05-13,67.5,135.0,49784,at-risk
INV000950,6,2024-02-26,2025-05-26,91.0,215.0,37182,at-risk
INV000971,7,2024-08-08,2025-05-16,46.833333333333336,139.0,38940,at-risk
INV000974,7,2024-01-06,2025-03-22,73.5,143.0,40022,at-risk
INV000977,10,2024-01-13,2025-03-27,48.77777777777778,147.0,129735,at-risk
INV000979,6,2024-04-08,2025-05-12,79.8,115.0,141450,at-risk
INV000980,8,2024-04-26,2025-03-03,44.42857142857143,121.0,208518,at-risk
INV000981,6,2024-09-11,2025-05-21,50.4,104.0,68442,at-risk
INV000986,7,2024-02-28,2025-02-27,60.833333333333336,182.0,166388,at-risk
INV000994,6,2024-02-20,2025-01-04,63.8,167.0,55817,at-risk
INV001001,8,2024-02-15,2025-04-12,60.285714285714285,137.0,67731,at-risk
INV001002,7,2024-04-01,2024-12-07,41.666666666666664,85.0,38098,at-risk
INV001005,6,2024-02-07,2025-05-20,93.6,206.0,74535,at-risk
INV001008,7,2024-02-16,2025-03-10,64.66666666666667,191.0,63227,at-risk
INV001013,6,2024-01-09,2025-05-07,96.8,164.0,81838,at-risk
INV001017,6,2024-03-18,2025-02-16,67.0,142.0,27846,at-risk
INV001019,9,2024-02-19,2025-02-12,44.875,180.0,62583,at-risk
INV001021,7,2024-01-08,2025-02-23,68.66666666666667,186.0,54295,at-risk
INV001023,8,2024-01-01,2025-05-22,72.42857142857143,202.0,38036,at-risk
INV001025,6,2024-07-19,2025-01-29,38.8,76.0,77009,at-risk
INV001026,6,2024-02-04,2025-01-16,69.4,132.0,51600,at-risk
INV001037,10,2024-02-26,2025-03-10,42.0,86.0,73922,at-risk
INV001039,6,2024-04-10,2025-03-07,66.2,187.0,19840,at-risk
INV001041,7,2024-01-01,2025-05-13,83.0,195.0,72624,at-risk
INV001047,7,2024-04-24,2025-05-26,66.16666666666667,142.0,52894,at-risk
INV001048,8,2024-03-19,2025-02-11,47.0,84.0,36491,at-risk
INV001051,8,2024-04-02,2025-04-16,54.142857142857146,139.0,57451,at-risk
INV001053,8,2024-02-18,2025-03-15,55.857142857142854,116.0,46140,at-risk
INV001055,6,2024-01-14,2025-04-24,93.2,177.0,77109,at-risk
INV001060,9,2024-01-19,2025-03-21,53.375,89.0,113690,at-risk
INV001061,9,2024-02-19,2025-04-03,51.125,141.0,99794,at-risk
INV001063,8,2024-02-17,2024-12-16,43.285714285714285,120.0,30795,at-risk
INV001064,9,2024-01-09,2025-04-29,59.5,160.0,151648,at-risk
INV001069,8,2024-06-02,2025-03-18,41.285714285714285,98.0,96230,at-risk
INV001070,6,2024-01-05,2025-05-04,97.0,329.0,103923,at-risk
INV001092,7,2024-02-04,2025-05-13,77.33333333333333,186.0,75632,at-risk
INV001099,8,2024-07-28,2025-01-27,26.142857142857142,63.0,135739,regular
INV001102,7,2024-02-06,2025-01-03,55.333333333333336,87.0,87539,at-risk
INV001115,6,2024-03-07,2025-04-18,81.4,290.0,51387,at-risk
INV001116,9,2024-02-17,2025-05-27,58.125,194.0,74728,at-risk
INV001117,8,2024-02-23,2025-04-30,61.714285714285715,137.0,53882,at-risk
INV001130,7,2024-02-08,2025-05-14,76.83333333333333,131.0,139695,at-risk
INV001137,7,2024-02-29,2025-02-05,57.0,120.0,35691,at-risk
INV001140,6,2024-04-29,2025-02-25,60.4,125.0,39628,at-risk
INV001141,6,2024-01-27,2025-05-29,97.6,132.0,34460,at-risk
INV001142,7,2024-04-27,2025-01-09,42.833333333333336,106.0,60116,at-risk
INV001156,6,2024-01-02,2025-05-28,102.4,175.0,51977,at-risk
INV001160,8,2024-04-02,2025-05-10,57.57142857142857,99.0,45043,at-risk
INV001161,6,2024-01-23,2025-03-01,80.6,159.0,146262,at-risk
INV001163,7,2024-01-30,2025-03-09,67.33333333333333,255.0,33877,at-risk
INV001167,6,2024-01-03,2025-04-28,96.2,207.0,78024,at-risk
INV001170,6,2024-03-03,2025-02-07,68.2,119.0,70673,at-risk
INV001173,6,2024-05-28,2025-04-28,67.0,146.0,58382,at-risk
INV001178,7,2024-01-31,2025-05-23,79.66666666666667,140.0,37864,at-risk
INV001180,6,2024-03-30,2025-04-06,74.4,198.0,104216,at-risk
INV001181,8,2024-02-12,2025-05-29,67.42857142857143,163.0,91218,at-risk
INV001190,6,2024-01-04,2025-05-03,97.0,198.0,45744,at-risk
INV001195,8,2024-03-16,2025-03-25,53.42857142857143,167.0,127687,at-risk
INV001196,6,2024-02-20,2025-05-26,92.2,169.0,61840,at-risk
INV001202,8,2024-04-09,2025-05-20,58.0,103.0,54919,at-risk
INV001206,6,2024-04-05,2025-05-28,83.6,190.0,76395,at-risk
INV001208,7,2024-03-13,2025-01-18,51.833333333333336,107.0,68466,at-risk
INV001210,9,2024-03-04,2024-12-24,36.875,93.0,84090,at-risk
INV001217,8,2024-02-29,2025-04-25,60.142857142857146,205.0,99061,at-risk
INV001219,8,2024-03-04,2025-02-23,50.857142857142854,118.0,90473,at-risk
INV001220,7,2024-01-08,2025-04-15,77.16666666666667,104.0,18410,at-risk
INV001223,7,2024-01-27,2025-03-27,70.83333333333333,175.0,81600,at-risk
INV001234,8,2024-01-27,2025-03-26,60.57142857142857,119.0,91103,at-risk
INV001235,9,2024-02-03,2025-05-20,59.0,161.0,125966,at-risk
INV001237,6,2024-01-18,2025-05-22,98.0,182.0,66778,at-risk
INV001238,7,2024-03-27,2025-05-12,68.5,220.0,45560,at-risk
INV001242,6,2024-01-19,2025-01-02,69.8,128.0,26658,at-risk
INV001251,6,2024-02-11,2025-03-27,82.0,223.0,142919,at-risk
INV001262,7,2024-07-06,2025-04-01,44.833333333333336,116.0,135943,at-risk
INV001274,7,2024-03-06,2025-05-20,73.33333333333333,161.0,56609,at-risk
INV001275,7,2024-02-11,2025-03-17,66.66666666666667,140.0,51676,at-risk
INV001282,6,2024-06-18,2025-05-19,67.0,196.0,50374,at-risk
INV001287,6,2024-01-09,2025-04-14,92.2,157.0,74519,at-risk
INV001288,7,2024-04-08,2025-01-07,45.666666666666664,148.0,127240,at-risk
INV001291,6,2024-03-27,2025-04-12,76.2,181.0,118076,at-risk
INV001295,9,2024-01-05,2025-02-14,50.75,165.0,66843,at-risk
INV001298,7,2024-03-14,2025-05-19,71.83333333333333,158.0,13160,at-risk
INV001299,9,2024-02-26,2025-04-11,51.25,121.0,67906,at-risk
INV001304,6,2024-01-06,2025-05-08,97.6,177.0,127605,at-risk
INV001308,9,2024-01-29,2025-04-10,54.625,147.0,145248,at-risk
