amfi_code,return_1yr_pct,return_3yr_pct,return_5yr_pct,annualised_return_pct,annualised_volatility_pct,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,max_drawdown_pct,drawdown_start,drawdown_end,scheme_name,fund_house,category,sub_category,expense_ratio_pct,benchmark,risk_category
120843,26.677583918827153,29.57511058901836,30.907454754005492,31.318423320461932,15.88698652360926,1.5621857098940621,2.8264962792667596,0.27330465038306057,-0.022829569792426556,0.0003430543427151453,-12.97396816518679,2022-03-07,2022-04-13,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,1.45,NIFTY 500 TRI,Moderately High
120844,7.125369741102916,6.694394239074852,6.915272985067156,6.66641700592201,0.5133170487371138,0.3241992572259895,0.6857636822474033,0.06455677495375998,-0.0004007442394784001,0.00010125435692271723,-0.11629327956168556,2024-04-12,2024-04-30,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,0.6,CRISIL Liquid Fund AI Index,Low
125497,28.6975804558778,18.429918008610045,19.017795344711462,19.570531955818304,14.66886675239951,0.8910389722969054,1.528328201968744,0.17729754927531766,0.0488204042595774,0.0018401792783071592,-15.200013055606398,2023-12-22,2025-01-01,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.92,NIFTY 100 TRI,Moderate
125498,15.455077019290385,11.242518737374208,11.301817123279978,12.765578290291412,18.35243008733579,0.3414031962238621,0.5778557361550775,0.11989100971217971,0.009054412621739151,4.0437465536342426e-05,-21.11727956013212,2025-04-04,2025-09-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.78,NIFTY Midcap 150 TRI,High
148567,20.37595706234765,33.991970400445304,30.974107501859027,31.051613449565927,14.193706754620353,1.729753465674064,2.849272789373521,0.2698375144191807,0.02368355807584862,0.00046254369066238454,-11.265729075028275,2023-07-11,2023-10-20,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,1.46,NIFTY 100 TRI,Moderate
148568,14.279834500870736,14.744434832760533,22.516869007113847,23.100694175845483,15.429144469823298,1.0759309570477826,1.8965136133239633,0.20873010086942337,-0.02638771994384301,0.00048592647527973177,-15.27259422823477,2023-09-05,2024-01-24,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,1.52,NIFTY Large Midcap 250 TRI,Moderately High
148569,39.78380253854239,29.17135767741186,31.94952310833252,32.72412420725268,17.674006691346698,1.4837679234382193,2.5795162088618624,0.2827036785246582,0.01813388408385922,0.00017488886568129514,-16.39674294693263,2023-08-10,2023-10-20,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,1.6,NIFTY 500 TRI,High
149322,18.12461925339035,18.03973982038829,13.393275924001857,14.062109121201694,14.353859818510518,0.5268345390589445,0.86526596678912,0.13173190226099432,-0.004050271130006522,1.322760788085039e-05,-14.844576917771747,2022-01-03,2022-02-04,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,1.54,NIFTY 100 TRI,Moderate
149323,21.497414349538225,26.863103668817146,29.581086910433996,30.44323367927109,17.746159397550844,1.3492065039478627,2.2346521670518107,0.26598577542043045,-0.002523004664699254,3.3579781920088773e-06,-17.24810575345138,2022-06-06,2022-10-24,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,1.61,NIFTY Midcap 150 TRI,High
149324,65.19546577826334,26.99350260734621,32.287440451573616,35.0873865939471,24.8402050052421,1.1508514759807424,1.9626758925928518,0.3005787817097677,0.011455159960520734,3.532990626795579e-05,-31.171900300634213,2024-05-03,2025-01-03,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,1.52,BSE 250 SmallCap TRI,Very High
