amfi_code,scheme_name,fund_house,alpha,beta,r_squared,benchmark
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.06746210411099539,-0.0004440926329707217,0.0001343066144067977,CRISIL Liquid Fund AI Index
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,0.06455677495375998,-0.0004007442394784001,0.00010125435692271723,CRISIL Liquid Fund AI Index
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,0.060861457957871144,0.00026670968338238357,4.607623677105207e-05,CRISIL Liquid Fund AI Index
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,0.05620895216638369,-0.0064138507282764734,0.0004342603321720048,CRISIL Dynamic Gilt Index
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,0.05074772999976104,0.0012566742731558473,1.651665231033279e-05,CRISIL Dynamic Gilt Index
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,0.048824215945539845,0.062001804382671694,0.0010259205326765969,BSE 250 SmallCap TRI
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,0.048015953637759554,-0.06695117463929202,0.0011851593464486726,BSE 250 SmallCap TRI
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,0.042817920315060876,0.0011582183155281445,1.4612842041844981e-05,CRISIL Short Term Bond Index
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,0.03747580763443281,-0.05826843143880889,0.002665032698133322,NIFTY 100 TRI
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,0.028969397866379445,-0.042125029021894335,0.0008964294600687586,NIFTY Midcap 150 TRI
